date_month,date_label,All items,Transport,Housing expenses,Food and drink,Health,Clothing,Recreation,Houshold equipement and maintenance,Hospitality,Education,Information and Communication,Miscellaneous
2022-12-01,December 2022,103.67247660939668,99.13461708914726,108.02790198448949,105.67426616301573,88.01551787735177,97.12722939085009,118.44756340525156,100.72522114172789,100.4355252249541,97.68701779723717,101.84629761014726,104.9079576743716
2023-01-01,January 2023,102.88041321571103,99.46510689794901,108.14102650910885,103.22457704689867,88.12661746551316,97.82247721719531,117.04530120729677,100.00206755716056,100.4972486280171,97.68701779723717,101.42194166135715,104.94143856797609
2023-02-01,February 2023,103.85710884245312,99.50512824349418,108.25308564730075,105.0582324898007,88.84443627201223,98.07363314761811,123.33191964689323,100.76855833694032,102.76946310730283,97.68701779723717,101.66495012619269,105.25331143851726
2023-03-01,March 2023,105.67464991972673,104.65239603923548,106.64842254072954,106.84370183305528,87.66175464676634,97.03996596782757,120.9572589462873,101.16863707764296,100.46624084978347,98.36884956941319,102.40615802495877,111.43707878060292
2023-04-01,April 2023,105.97172663652198,104.56917998263471,106.9208615586604,107.41524967863336,87.81205775143144,97.7451828265919,120.2686822294974,101.22661553398892,101.2760638749698,98.36884956941319,101.86048158957435,111.72094157403009
2023-05-01,May 2023,105.7164549299255,104.36348412545154,106.86090181264959,106.26064308545713,88.19886162595847,97.76852096131802,126.3153327985632,101.4550413359669,101.98122176505409,98.36884956941319,100.94160294868851,111.94599820652681
2023-06-01,June 2023,105.14351522532544,101.27577678624931,106.41926921991234,105.10959201573431,88.82937572857195,98.01213822010085,127.30958503129199,101.00315785459733,101.75677271830139,99.7900159840513,100.62236061967758,111.91202637788834
2023-07-01,July 2023,105.31237803079657,101.23312305753582,106.89408691341347,104.76919377633992,88.82503856885545,99.93442337507312,128.83820182311226,101.8344057902345,102.29408830468466,99.7900159840513,100.43460898343494,111.8348217135956
2023-08-01,August 2023,105.93255651766712,101.6735834771831,107.48765944720246,106.48386814314068,88.65465673796427,99.43141562872285,131.83062679228647,102.57502679548271,101.61872528942017,99.7900159840513,99.94367724343986,111.83581338648132
2023-09-01,September 2023,107.42432597230723,105.20742895641196,106.99963083823404,109.82206641454074,89.37336060608087,98.88375266844226,127.04674237348331,103.33901744412925,104.65811335628439,102.39594993741784,101.45587656803741,111.55870435884991
2023-10-01,October 2023,120.30896481085779,225.2469147169124,107.05454287548001,120.59332464075457,89.21506582713674,99.06573158884585,129.3030096128329,102.97162398876254,104.75992557054833,102.39594993741784,101.59323302166781,111.88434831205768
2023-11-01,November 2023,142.38215588576824,256.3502391166103,198.4433732997668,133.29048013905415,97.30023290627453,101.2840631081843,129.3030096128329,104.06288832057128,104.75992557054833,102.39594993741784,101.59323302166781,112.51366835363248
