code_good_service,name_good_service,date_month,cpi_index,pct_change
01111,Cereals,2025-03-01,159.08741369650747,2.939720885012491
01111,Cereals,2025-04-01,202.73644210517799,27.43713496527147
01111,Cereals,2025-05-01,341.28005564462035,68.33680817362233
01111,Cereals,2025-06-01,451.4223175912277,32.27327824316225
01111,Cereals,2025-07-01,457.17526442851664,1.2744046125115176
01111,Cereals,2025-08-01,264.40283190109466,-42.165980429495356
01111,Cereals,2025-09-01,116.10203485038913,-56.08895940501141
01111,Cereals,2025-10-01,84.33765763529806,-27.359018518515327
01111,Cereals,2025-11-01,55.953660462826576,-33.65518792946871
01111,Cereals,2025-12-01,51.51385549801257,-7.9347891238744666
011112,Rice,2022-12-01,111.94309506578128,
011112,Rice,2023-01-01,111.85540959312752,-0.07833039867463754
011112,Rice,2023-02-01,112.30527732247317,0.40218683296771474
011112,Rice,2023-03-01,113.85231467341355,1.3775286325131475
011112,Rice,2023-04-01,115.49804033154896,1.4454916115286665
011112,Rice,2023-05-01,115.37561206586174,-0.10600029691913448
011112,Rice,2023-06-01,115.90092614467831,0.45530772873966896
011112,Rice,2023-07-01,113.04845586166527,-2.4611281185556066
011112,Rice,2023-08-01,113.14038496466988,0.08131831815296664
011112,Rice,2023-09-01,114.01401999318949,0.7721690436111004
011112,Rice,2023-10-01,122.81853308931282,7.722307393993532
011112,Rice,2023-11-01,124.32645769079441,1.2277663342429292
011112,Rice,2023-12-01,169.7373895378153,36.52555754460562
011112,Rice,2024-01-01,169.45266360955952,-0.1677449671112896
011112,Rice,2024-02-01,169.36572732806815,-0.05130416934116511
011112,Rice,2024-03-01,169.92066602320315,0.32765702004165576
011112,Rice,2024-04-01,168.54545560063426,-0.8093249954547019
011112,Rice,2024-05-01,167.98475176350723,-0.3326721774425039
011112,Rice,2024-06-01,167.250377706443,-0.4371670936527039
011112,Rice,2024-07-01,167.22835943365797,-0.01316485683737767
011112,Rice,2024-08-01,167.3661754737907,0.0824118831276337
011112,Rice,2024-09-01,168.20371501091657,0.5004234187433241
011112,Rice,2024-10-01,169.04476025436475,0.5000158548184288
011112,Rice,2024-11-01,169.91503892930504,0.5148214435222798
011112,Rice,2024-12-01,169.65914261259047,-0.15060251189480311
011112,Rice,2025-01-01,168.81536720451285,-0.4973356549398176
011112,Rice,2025-02-01,150.47596467812212,-10.863585957890493
011112,Rice,2025-03-01,150.97113684675062,0.32907060585236536
011112,Rice,2025-04-01,152.81857723706443,1.2237043642250143
011112,Rice,2025-05-01,251.41962883885802,64.52163957058423
011112,Rice,2025-06-01,348.5810104543161,38.6451058193756
011112,Rice,2025-07-01,356.5380510352999,2.282694794708746
011112,Rice,2025-08-01,161.28881159498417,-54.762525030178224
011112,Rice,2025-09-01,66.90909714385135,-58.51597114382104
011112,Rice,2025-10-01,60.792896076225105,-9.141060526458318
011112,Rice,2025-11-01,45.146183890627434,-25.737731207901433
011112,Rice,2025-12-01,42.77769854038798,-5.246258146596432
011116,Maize (corn),2022-12-01,103.66402496155413,
011116,Maize (corn),2023-01-01,103.66402496155413,0.0
011116,Maize (corn),2023-02-01,105.25106629358645,1.530947049973122
011116,Maize (corn),2023-03-01,102.100914030213,-2.9929884554199475
011116,Maize (corn),2023-04-01,103.66402496155413,1.530947049973122
011116,Maize (corn),2023-05-01,104.68652342223255,0.9863580553211477
011116,Maize (corn),2023-06-01,107.33761093451774,2.532405724844395
011116,Maize (corn),2023-07-01,102.10091403021299,-4.878715725748222
011116,Maize (corn),2023-08-01,106.86240438807336,4.66351393921056
011116,Maize (corn),2023-09-01,107.91645032186499,0.9863580553211477
011116,Maize (corn),2023-10-01,108.24400200507644,0.30352340373920583
011116,Maize (corn),2023-11-01,108.24400200507644,0.0
