date_month,date_label,All food and drink,Fruit and nuts,Soft drinks,Vegetables,Water,Dairy products,Meat,Coffee,Oils and fats,Sugar,Cereals,Other food products
2022-12-01,December 2022,105.67426616301573,98.42389442900242,96.05037687973702,112.39507432298785,100.37259834704712,103.18189623472101,108.87872415113753,90.55625590947207,119.09461101759011,97.44208691312525,107.40750903502278,93.09350105334897
2023-01-01,January 2023,103.22457704689867,97.97110220173776,96.85258168037171,99.89943395088686,99.99999999999999,103.39533303954217,105.94353507000575,91.49924926760758,117.32036022017652,97.5331206815367,108.34958832992736,93.0723280313647
2023-02-01,February 2023,105.0582324898007,100.30948065616566,95.05695818327247,105.46642314239907,99.99999999999999,104.57689193237154,107.7822555852276,91.98267629634081,116.5089702279932,97.91934494659256,108.57793175162419,93.38797781411442
2023-03-01,March 2023,106.84370183305528,102.60983964525082,94.26962606609663,109.26726592602506,99.99999999999999,106.62409978671488,109.67272385241351,91.28595889629246,116.47306738722207,98.43239828366796,109.87912616220684,94.77987303137965
2023-04-01,April 2023,107.41524967863336,102.98822297331482,94.26962606609663,107.08506243822457,99.99999999999999,105.07633560590887,112.64714864960408,90.95784711681225,117.58404829566663,99.0124403422595,111.83278178797846,94.86654999290063
2023-05-01,May 2023,106.26064308545713,108.5194992775396,94.07381410246845,95.30709919642176,99.99999999999999,99.73720635611681,119.10987432607034,90.28616541042555,117.49834543919606,98.96373291170873,109.8281532760942,93.51753249349451
2023-06-01,June 2023,105.10959201573431,101.45694819760355,94.07381410246845,95.42525509417976,99.99999999999999,101.3694768813585,118.72909878736277,90.3451637136077,115.66860989719538,98.65487632717405,107.16175440951801,93.28760164988682
2023-07-01,July 2023,104.76919377633992,112.84789097080593,93.87840886926553,101.79165866340077,99.99999999999999,97.3287958286732,108.33196318601007,90.86903940638264,115.29320537270434,101.67730166337769,105.72834810330815,93.72738262762539
2023-08-01,August 2023,106.48386814314068,112.88371661317858,99.09336006248397,109.7111338368735,99.99999999999999,102.69421495378485,107.83070005372763,91.33041185914954,114.69011123564844,102.66263427334046,105.23731338979712,93.15397670231667
2023-09-01,September 2023,109.82206641454074,111.06270058521024,99.09336006248397,121.0273542028723,99.99999999999999,103.42874831009594,113.58567313717606,91.60487462910822,115.05611584411263,106.26951902626915,105.16888028006366,94.89384962536631
2023-10-01,October 2023,120.59332464075457,134.2979783896853,99.09336006248397,152.76760273834486,174.1101126592248,110.07184647583694,117.2060285162439,91.36267102509963,120.85861511024576,106.88655814682802,111.06507305967942,100.61448535897907
2023-11-01,November 2023,133.29048013905415,129.15731542479924,99.09336006248397,165.5158345024577,174.99999999999997,141.87155262675796,142.2843578007896,110.20164396025999,139.65529223534796,107.8209606252555,117.29566566535176,107.22591839794204
2023-12-01,December 2023,192.74052508874192,179.51210703306904,99.09336006248397,254.63544279693343,158.72247073353162,207.66489879675783,196.31268536337697,141.5446143450491,240.71666286453117,192.72942897082112,163.7247061187688,172.7775586228206
2024-01-01,January 2024,224.6936611520446,264.20940203505626,133.57453315638253,310.7211316132595,158.72247073353162,193.83101908936703,225.6911706771179,148.53708128161855,289.2934424214677,268.99356054932804,176.2506261712418,152.47864730349133
2024-02-01,February 2024,288.2442572213286,293.5093931356443,133.57453315638253,415.7299166167883,174.99999999999994,291.9563245010229,261.8211250471644,180.2268288842596,332.69242579749806,574.6762826108912,184.11412977357296,157.31876924366986
2024-03-01,March 2024,322.7632373915773,371.4336590196312,177.27841187535387,495.54013437950204,162.49999999999994,340.4523988400675,270.8976945842958,191.85435476452858,260.0268941041611,660.4443082022857,188.16252274782158,193.67759646100077
2024-04-01,April 2024,255.99823535189506,307.0530703600735,182.06286103821157,395.0053225009099,143.74999999999994,216.0305877683214,273.1657227129336,139.6978956385873,154.3196442313024,183.94247335503997,175.28569057347576,198.03413491698407
2024-05-01,May 2024,263.50570793532836,320.4550141899342,179.37084458191134,338.6486871371689,131.24999999999994,315.08531136892736,293.44054914184676,129.73950919877328,164.46496215242354,254.32682346306353,176.52399082398082,185.23563180940147
2024-06-01,June 2024,243.82807395671577,369.28507900999307,165.6680141505153,279.3082276047771,187.49999999999991,216.8519612087351,293.4405491418468,125.35015985696893,171.6199856858709,144.34994916488878,169.9455736226728,182.27417192884855
2024-07-01,July 2024,233.5093690467285,331.75129615938295,176.3268178483657,286.5610850178174,212.49999999999991,180.33599455099963,281.5207720447223,122.90087170212256,175.49145544738948,131.05261772965665,171.53689864481666,176.64269843714126
2024-08-01,August 2024,255.8227670468281,344.81104015981475,176.3268178483657,393.80317893652744,174.99999999999994,207.8848976472463,274.0712906295971,122.90087170212256,181.70057549392828,123.51168011740151,174.85551944418006,190.7150417049492
2024-09-01,September 2024,452.8458969120399,652.1323477504828,176.3268178483657,976.0847465998266,149.99999999999994,339.8548523286144,491.36188254312077,101.73495619426873,202.11648948050475,251.87593490981217,173.90411477154052,198.09983165953562
2024-10-01,October 2024,660.5391104797737,480.79018367540607,176.3268178483657,1557.8067133351522,212.49999999999991,538.3043129718204,822.8722861577093,140.77772225678822,472.7407049062205,477.18558851020924,191.1883351005703,179.19626248319327
2024-11-01,November 2024,710.9803776059106,996.907756186033,203.12663461980816,1336.7799095949474,237.4999999999999,743.2262558160133,798.3761111244374,154.77380894861162,574.8919435325959,613.9267752129894,214.2397265925218,217.51104472367635
2024-12-01,December 2024,638.1247539650341,803.4388541741506,192.6854355015223,1091.657868472169,499.9999999999998,439.4196424120921,806.4704009995138,330.5845040667376,393.5468060073865,453.89273638269464,329.19304060255183,317.5191066225511
2025-01-01,January 2025,359.0245836425828,487.72599911004994,176.22489891599292,559.7926215003845,499.9999999999998,266.04877769484034,347.037919760659,238.33762695768726,272.20685697930975,233.7222401178803,233.49571978214212,307.4752558563821
2025-02-01,February 2025,213.25509121996885,303.81988790886976,126.24498042003108,267.3671490679308,317.8571428571428,191.4633242154587,210.76986186894828,169.1975547865552,171.29186189785375,148.56021855137388,111.69585972415571,222.83955787664203
2025-03-01,March 2025,304.9009775705056,391.78502207727297,150.20722930461235,502.1360121829811,316.66666666666663,215.5374219232081,355.30563748066476,226.0573877115638,210.58399549843057,184.55247217702058,139.9558844085325,216.2592869470335
2025-04-01,April 2025,489.02731415258484,593.143559877386,150.20722930461235,968.2995164632274,308.33333333333326,543.0013592871019,366.60747780768537,268.5383645489408,507.1621769127398,470.1013602364334,248.5393405714426,293.12392778234414
2025-05-01,May 2025,726.3791964128726,693.66985783028,150.20722930461235,1265.38559966819,449.9999999999999,1002.3907013022855,368.8596446843163,311.12876178556786,1006.9715919169012,1147.7123750995115,660.6282180166552,345.0955706581104
2025-06-01,June 2025,1388.375713113966,1406.826634653957,150.20722930461235,2356.258700402538,449.9999999999999,1035.2211682968548,1743.9469937702797,463.52680405733975,992.7910304771129,2876.4607994922153,679.1393040161586,414.7581959690691
2025-07-01,July 2025,1468.4679146612573,1622.5753415720792,150.20722930461235,2102.8539236461165,449.9999999999999,1035.2211682968548,1739.8655917035842,539.4154124094407,848.1490890613618,3794.0887570627156,919.2298323170544,709.4188187053858
2025-08-01,August 2025,975.4180683598613,1267.667554938499,150.20722930461235,1624.9438244799167,449.9999999999999,1133.5389086630478,928.5648691842378,408.52742763875733,477.9986859439014,1439.4157321674309,594.5377412974016,468.7865220481659
2025-09-01,September 2025,823.8750272981221,1494.1076757193182,650.2477459074128,1265.0608409820688,449.9999999999999,1397.4011461040202,903.2298704231968,586.9268137083318,273.5860707656749,385.80256548755136,230.43498995426543,277.07529396459256
2025-10-01,October 2025,573.8898465955292,765.6696135685416,650.2477459074128,662.6338625586168,449.9999999999999,1571.904182335539,739.7893629939675,474.9128793956926,193.72840507428768,243.2815456363894,110.8790466947917,169.66471324164792
2025-11-01,November 2025,256.90116956666236,349.1815050605892,178.81813012453853,300.0848979629078,249.99999999999994,343.0712151304442,346.63871606878246,134.9372460742445,143.20366752897985,171.06994145081964,120.42482693956326,195.1920660528317
2025-12-01,December 2025,202.7777565368043,303.0714224807561,162.56193647685322,240.92899989608844,199.99999999999997,235.10689350472197,242.71223109950358,140.38419820463824,134.19226805692142,134.50689382808133,104.10759040852021,184.20957795976872
2026-01-01,January 2026,190.63862203305007,329.6563113063451,315.39973297638664,240.69133786125772,199.99999999999997,194.32726624608406,192.17590360775128,148.54115953194798,128.99828620423253,120.71225922701704,102.05806571908649,174.2470649365789
